<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL2,5,20120103,150000,411.2100000,411.7600000,411.2100000,411.7600000,13039
AAPL2,5,20120103,150500,411.7500000,411.8600000,411.6000000,411.6600000,16573
AAPL2,5,20120103,151000,411.6500000,411.8100000,411.4400000,411.7500000,8825
AAPL2,5,20120103,151500,411.7600000,411.9600000,411.6400000,411.9600000,13003
AAPL2,5,20120103,152000,411.7300000,411.8400000,411.6800000,411.8000000,7365
AAPL2,5,20120103,152500,411.8400000,411.9000000,411.4600000,411.4600000,14385
AAPL2,5,20120103,153000,411.5000000,411.6600000,411.4200000,411.5100000,20860
AAPL2,5,20120103,153500,411.4500000,411.7500000,411.4500000,411.5100000,7999
AAPL2,5,20120103,154000,411.5000000,411.5700000,411.2600000,411.4600000,15427
AAPL2,5,20120103,154500,411.4500000,411.9200000,411.4500000,411.9200000,22393
AAPL2,5,20120103,155000,411.9400000,412.0200000,411.6700000,411.7500000,29992
AAPL2,5,20120103,155500,411.7400000,411.8500000,411.3600000,411.3700000,29379
AAPL2,5,20120103,160000,411.3600000,411.3800000,410.7100000,410.9000000,20913
AAPL2,5,20120104,093500,410.2100000,411.5000000,409.8400000,410.7100000,25128
AAPL2,5,20120104,094000,410.6100000,410.6100000,409.3800000,409.5300000,24719
AAPL2,5,20120104,094500,409.5300000,410.3400000,409.4500000,410.2500000,13356
AAPL2,5,20120104,095000,410.2100000,410.8800000,410.0000000,410.8800000,15799
AAPL2,5,20120104,095500,410.8800000,411.0000000,410.5600000,410.5700000,16860
AAPL2,5,20120104,100000,410.6500000,410.9200000,410.6100000,410.8500000,16845
AAPL2,5,20120104,100500,410.7300000,411.0000000,410.4500000,410.4600000,25639
AAPL2,5,20120104,101000,410.4600000,410.6300000,410.3300000,410.4000000,10333
AAPL2,5,20120104,101500,410.4100000,410.4100000,409.7500000,409.8600000,12693
AAPL2,5,20120104,102000,409.8500000,410.3000000,409.7000000,410.0500000,13675
AAPL2,5,20120104,102500,410.0700000,410.3800000,410.0700000,410.3500000,8821
AAPL2,5,20120104,103000,410.3800000,410.4700000,410.0800000,410.2000000,21264
AAPL2,5,20120104,103500,410.1900000,410.3500000,410.0100000,410.1000000,9434
AAPL2,5,20120104,104000,410.1000000,410.1800000,409.4300000,409.4500000,13969
AAPL2,5,20120104,104500,409.4900000,409.9500000,409.4000000,409.8900000,6200
AAPL2,5,20120104,105000,409.8900000,410.2400000,409.8200000,410.2400000,8543
AAPL2,5,20120104,105500,410.1900000,410.8000000,410.1900000,410.7400000,13884
AAPL2,5,20120104,110000,410.8500000,410.9400000,410.7700000,410.9000000,8979
AAPL2,5,20120104,110500,410.8500000,410.9400000,410.7300000,410.8300000,8274
AAPL2,5,20120104,111000,410.8400000,411.7500000,410.7800000,411.5100000,16061
AAPL2,5,20120104,111500,411.5700000,412.3000000,411.5700000,412.1300000,15944
AAPL2,5,20120104,112000,412.1300000,412.1600000,411.9000000,412.0000000,11881
AAPL2,5,20120104,112500,412.0200000,413.3700000,412.0200000,413.0400000,40161
AAPL2,5,20120104,113000,413.0000000,413.2000000,412.7100000,412.7400000,5327
AAPL2,5,20120104,113500,412.7700000,413.0100000,412.7100000,412.9300000,14340
AAPL2,5,20120104,114000,412.8600000,413.5000000,412.8600000,413.3700000,11899
AAPL2,5,20120104,114500,413.4300000,413.4600000,413.3000000,413.4000000,9941
AAPL2,5,20120104,115000,413.3900000,413.4300000,413.0900000,413.0900000,10140
AAPL2,5,20120104,115500,413.1200000,413.1200000,412.9200000,413.0000000,8859
AAPL2,5,20120104,120000,412.9700000,413.1000000,412.8600000,413.1000000,5632
AAPL2,5,20120104,120500,413.0500000,413.1700000,412.9900000,413.1300000,11529
AAPL2,5,20120104,121000,413.2000000,413.4300000,413.0700000,413.3700000,10462
AAPL2,5,20120104,121500,413.4250000,413.5000000,413.3800000,413.4000000,9055
AAPL2,5,20120104,122000,413.4000000,414.4500000,413.4000000,414.3800000,32952
AAPL2,5,20120104,122500,414.3000000,414.3100000,413.9300000,413.9300000,6943
AAPL2,5,20120104,123000,414.0000000,414.1100000,413.9400000,414.0600000,2695
AAPL2,5,20120104,123500,414.1000000,414.3600000,414.1000000,414.2700000,4534
AAPL2,5,20120104,124000,414.2600000,414.2800000,413.9500000,413.9600000,10641
