Tue Jan 03 13:50:00 +0000 2012,GOOGL,659.0600000,659.4700000,658.8000000,659.4700000,2400
Tue Jan 03 13:55:00 +0000 2012,GOOGL,659.6200000,659.7800000,659.5400000,659.5400000,2200
Tue Jan 03 14:00:00 +0000 2012,GOOGL,659.2300000,659.6300000,659.2300000,659.4900000,1400
Tue Jan 03 14:05:00 +0000 2012,GOOGL,659.4800000,660.1000000,659.3800000,659.7900000,1900
Tue Jan 03 14:10:00 +0000 2012,GOOGL,660.0600000,660.0900000,659.9000000,659.9000000,1200
Tue Jan 03 14:15:00 +0000 2012,GOOGL,659.6100000,659.9100000,659.4800000,659.7600000,3300
Tue Jan 03 14:20:00 +0000 2012,GOOGL,659.6500000,659.6800000,659.3500000,659.6800000,700
Tue Jan 03 14:25:00 +0000 2012,GOOGL,659.5800000,660.3600000,659.5800000,660.1800000,7234
Tue Jan 03 14:30:00 +0000 2012,GOOGL,660.3500000,660.6900000,660.3400000,660.6900000,2000
Tue Jan 03 14:35:00 +0000 2012,GOOGL,660.6400000,661.4200000,660.6200000,661.3100000,3097
Tue Jan 03 14:40:00 +0000 2012,GOOGL,661.4100000,663.1200000,661.4000000,663.1200000,8600
Tue Jan 03 14:45:00 +0000 2012,GOOGL,663.2000000,663.4100000,662.9200000,663.4100000,4753
Tue Jan 03 14:50:00 +0000 2012,GOOGL,663.4100000,663.5700000,663.4100000,663.4700000,3401
Tue Jan 03 14:55:00 +0000 2012,GOOGL,663.4300000,663.5000000,663.2300000,663.3000000,3011
Tue Jan 03 15:00:00 +0000 2012,GOOGL,663.2100000,664.6400000,663.1300000,664.6400000,4960
Tue Jan 03 15:05:00 +0000 2012,GOOGL,664.6700000,665.0000000,664.1500000,664.5900000,6961
Tue Jan 03 15:10:00 +0000 2012,GOOGL,664.6600000,665.0000000,664.6000000,664.9200000,22754
Tue Jan 03 15:15:00 +0000 2012,GOOGL,664.9100000,665.3300000,664.6600000,664.8100000,10189
Tue Jan 03 15:20:00 +0000 2012,GOOGL,664.9800000,664.9800000,664.6900000,664.8200000,1500
Tue Jan 03 15:25:00 +0000 2012,GOOGL,665.0000000,665.2400000,664.7200000,664.7200000,4630
Tue Jan 03 15:30:00 +0000 2012,GOOGL,664.7100000,665.8300000,664.5900000,665.8300000,3400
Tue Jan 03 15:35:00 +0000 2012,GOOGL,665.8600000,665.8600000,665.4400000,665.6200000,4910
Tue Jan 03 15:40:00 +0000 2012,GOOGL,665.4100000,665.9000000,664.7900000,665.8500000,5065
Tue Jan 03 15:45:00 +0000 2012,GOOGL,665.9800000,667.4300000,665.9800000,667.4300000,5750
Tue Jan 03 15:50:00 +0000 2012,GOOGL,667.5300000,668.0700000,667.3700000,667.7300000,9620
Tue Jan 03 15:55:00 +0000 2012,GOOGL,667.6500000,667.6500000,665.6500000,665.6500000,4701
Tue Jan 03 16:00:00 +0000 2012,GOOGL,665.7400000,665.9300000,664.9600000,664.9600000,7454
Wed Jan 04 09:35:00 +0000 2012,GOOGL,665.2000000,669.2500000,664.9300000,664.9600000,6420
Wed Jan 04 09:40:00 +0000 2012,GOOGL,664.9400000,665.1600000,662.4500000,663.0200000,5400
Wed Jan 04 09:45:00 +0000 2012,GOOGL,663.2050000,663.2050000,661.9600000,663.0400000,4053
Wed Jan 04 09:50:00 +0000 2012,GOOGL,663.3100000,663.3100000,662.4900000,662.5600000,3900
Wed Jan 04 09:55:00 +0000 2012,GOOGL,662.9500000,662.9600000,661.5400000,662.1800000,3571
Wed Jan 04 10:00:00 +0000 2012,GOOGL,662.4000000,662.8900000,661.6200000,662.1900000,4501
Wed Jan 04 10:05:00 +0000 2012,GOOGL,661.5800000,662.0000000,661.4400000,661.5100000,8252
Wed Jan 04 10:10:00 +0000 2012,GOOGL,661.2700000,662.5000000,661.2700000,662.0800000,3593
Wed Jan 04 10:15:00 +0000 2012,GOOGL,661.9200000,661.9200000,661.2800000,661.4150000,2830
Wed Jan 04 10:20:00 +0000 2012,GOOGL,661.5500000,662.6300000,661.5500000,662.5500000,800
Wed Jan 04 10:25:00 +0000 2012,GOOGL,662.3800000,662.9400000,662.3800000,662.9400000,1100
Wed Jan 04 10:30:00 +0000 2012,GOOGL,662.8100000,662.8100000,662.2000000,662.3800000,2630
Wed Jan 04 10:35:00 +0000 2012,GOOGL,662.2000000,662.5600000,661.9500000,662.3200000,3500
Wed Jan 04 10:40:00 +0000 2012,GOOGL,661.3600000,661.4600000,660.7400000,660.9300000,3411
Wed Jan 04 10:45:00 +0000 2012,GOOGL,660.8600000,661.5400000,660.7700000,661.4000000,1440
Wed Jan 04 10:50:00 +0000 2012,GOOGL,661.1000000,661.7300000,661.1000000,661.7300000,1258
Wed Jan 04 10:55:00 +0000 2012,GOOGL,661.8400000,663.2000000,661.7300000,663.2000000,2464
Wed Jan 04 11:00:00 +0000 2012,GOOGL,663.3100000,663.4900000,663.2000000,663.4200000,3497
Wed Jan 04 11:05:00 +0000 2012,GOOGL,663.3350000,663.4300000,662.8650000,663.4100000,2360
Wed Jan 04 11:10:00 +0000 2012,GOOGL,663.4300000,664.9300000,663.3800000,664.9300000,3000
Wed Jan 04 11:15:00 +0000 2012,GOOGL,664.9200000,665.7900000,664.7600000,665.7900000,3005
Wed Jan 04 11:20:00 +0000 2012,GOOGL,666.1600000,666.4400000,665.9350000,666.1300000,3400
Wed Jan 04 11:25:00 +0000 2012,GOOGL,665.9300000,666.4100000,665.9300000,666.4100000,2500
Wed Jan 04 11:30:00 +0000 2012,GOOGL,666.0700000,666.0800000,664.7700000,664.8300000,4220
Wed Jan 04 11:35:00 +0000 2012,GOOGL,665.1200000,665.4400000,664.9300000,665.2900000,1900
Wed Jan 04 11:40:00 +0000 2012,GOOGL,665.3600000,666.2700000,665.3600000,666.2500000,2100
Wed Jan 04 11:45:00 +0000 2012,GOOGL,666.2500000,666.4100000,666.1500000,666.1900000,1658
Wed Jan 04 11:50:00 +0000 2012,GOOGL,666.1300000,667.1000000,666.1000000,667.1000000,1100
Wed Jan 04 11:55:00 +0000 2012,GOOGL,666.7300000,666.7400000,666.5550000,666.6000000,1900
Wed Jan 04 12:00:00 +0000 2012,GOOGL,666.6900000,666.6900000,666.0100000,666.0100000,926
Wed Jan 04 12:05:00 +0000 2012,GOOGL,666.7800000,667.1700000,666.7250000,667.1500000,1206
Wed Jan 04 12:10:00 +0000 2012,GOOGL,667.1100000,667.8000000,667.1100000,667.8000000,2100
Wed Jan 04 12:15:00 +0000 2012,GOOGL,667.6400000,668.1200000,667.6400000,668.1200000,1100
Wed Jan 04 12:20:00 +0000 2012,GOOGL,668.3500000,668.9600000,668.3500000,668.9600000,1200
Wed Jan 04 12:25:00 +0000 2012,GOOGL,668.9500000,669.3800000,668.2350000,668.2350000,2792
Wed Jan 04 12:30:00 +0000 2012,GOOGL,668.2400000,668.2800000,668.2250000,668.2250000,500
Wed Jan 04 12:35:00 +0000 2012,GOOGL,668.3200000,668.5500000,668.3100000,668.3800000,1000
Wed Jan 04 12:40:00 +0000 2012,GOOGL,668.3800000,668.7100000,668.3800000,668.4500000,800
Wed Jan 04 12:45:00 +0000 2012,GOOGL,668.4300000,669.3000000,668.4300000,669.3000000,1400
Wed Jan 04 12:50:00 +0000 2012,GOOGL,669.3900000,669.7400000,668.9700000,669.2000000,1700
Wed Jan 04 12:55:00 +0000 2012,GOOGL,669.2000000,669.8200000,668.9600000,669.8200000,1400
Wed Jan 04 13:00:00 +0000 2012,GOOGL,669.9450000,669.9900000,669.8200000,669.9900000,800
Wed Jan 04 13:05:00 +0000 2012,GOOGL,669.8800000,669.8800000,669.2900000,669.3000000,1503
Wed Jan 04 13:10:00 +0000 2012,GOOGL,668.9300000,668.9300000,668.6600000,668.6600000,300
Wed Jan 04 13:15:00 +0000 2012,GOOGL,668.6500000,668.8200000,668.2200000,668.2200000,1364
Wed Jan 04 13:20:00 +0000 2012,GOOGL,667.9100000,667.9100000,666.9700000,666.9700000,1712
Wed Jan 04 13:25:00 +0000 2012,GOOGL,666.9200000,667.2000000,666.9200000,667.2000000,648
Wed Jan 04 13:30:00 +0000 2012,GOOGL,666.5500000,666.5700000,665.9000000,666.4100000,2000
Wed Jan 04 13:35:00 +0000 2012,GOOGL,666.9900000,667.1500000,666.9800000,666.9800000,300
Wed Jan 04 13:40:00 +0000 2012,GOOGL,667.5900000,667.7600000,667.4700000,667.6700000,1100
Wed Jan 04 13:45:00 +0000 2012,GOOGL,667.5900000,667.8400000,667.5900000,667.8400000,1000
