<TICKER>,<PER 5 min>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL,5,20120104,153000,176.5400000,176.7800000,176.2500000,176.4300000,284590
AAPL,5,20120104,153500,176.4100000,176.4900000,176.2300000,176.4000000,175910
AAPL,5,20120104,154000,176.3700000,176.6800000,176.3600000,176.4300000,204190
AAPL,5,20120104,154500,176.4200000,176.4900000,176.2800000,176.2800000,74960
AAPL,5,20120104,155000,176.3000000,176.3600000,176.0400000,176.2000000,351970
AAPL,5,20120104,155500,176.1900000,176.2700000,176.1100000,176.1900000,56230
AAPL,5,20120104,160000,176.2700000,176.3200000,176.1900000,176.2900000,178810
AAPL,5,20120104,160500,176.2500000,176.5600000,176.0200000,176.1200000,183640
AAPL,5,20120104,161000,176.1200000,176.4300000,176.1000000,176.2900000,59320
AAPL,5,20120104,161500,176.2500000,176.4000000,176.2100000,176.4000000,66790
AAPL,5,20120104,162000,176.4000000,176.4700000,176.3000000,176.3000000,65120
AAPL,5,20120104,162500,176.3500000,176.3600000,176.2300000,176.2300000,137060
AAPL,5,20120104,163000,176.2400000,176.3500000,176.1700000,176.2700000,43370
AAPL,5,20120104,163500,176.3200000,176.3600000,176.1500000,176.1600000,49260
AAPL,5,20120104,164000,176.1800000,176.3200000,176.0900000,176.1600000,199130
AAPL,5,20120104,164500,176.1800000,176.1800000,175.0000000,175.7000000,1304300
AAPL,5,20120104,165000,175.7300000,175.7900000,175.3300000,175.4100000,214140
AAPL,5,20120104,165500,175.3100000,176.0000000,175.3100000,175.6400000,409950
AAPL,5,20120104,170000,175.6800000,175.9700000,175.6400000,175.9400000,169770
AAPL,5,20120104,170500,175.8800000,175.9400000,175.6400000,175.6800000,141280
AAPL,5,20120104,171000,175.6800000,175.7500000,175.2000000,175.2200000,271370
AAPL,5,20120104,171500,175.3000000,175.4600000,175.2000000,175.3100000,184790
AAPL,5,20120104,172000,175.3100000,175.5200000,175.3000000,175.3500000,151330
AAPL,5,20120104,172500,175.3600000,175.5000000,175.3000000,175.4000000,70380
AAPL,5,20120104,173000,175.4200000,175.5600000,175.3300000,175.4300000,70080
