close_time,start_time,end_time,sentiment
Sun Jan 01 07:00:00 +0000 2012,Sun Jan 01 07:00:55 +0000 2012,Sun Jan 01 07:04:42 +0000 2012,0.20554924242424244
Sun Jan 01 07:05:00 +0000 2012,Sun Jan 01 07:05:58 +0000 2012,Sun Jan 01 07:09:10 +0000 2012,0.12755713383838382
Sun Jan 01 07:10:00 +0000 2012,Sun Jan 01 07:10:58 +0000 2012,Sun Jan 01 07:14:21 +0000 2012,0.01890151515151515
Sun Jan 01 07:15:00 +0000 2012,Sun Jan 01 07:15:56 +0000 2012,Sun Jan 01 07:19:58 +0000 2012,0.1063888888888889
Sun Jan 01 07:20:00 +0000 2012,Sun Jan 01 07:20:23 +0000 2012,Sun Jan 01 07:23:22 +0000 2012,0.1621212121212121
Sun Jan 01 07:25:00 +0000 2012,Sun Jan 01 07:25:58 +0000 2012,Sun Jan 01 07:29:59 +0000 2012,0.14374763257575757
Sun Jan 01 07:30:00 +0000 2012,Sun Jan 01 07:30:44 +0000 2012,Sun Jan 01 07:34:08 +0000 2012,0.09166666666666667
Sun Jan 01 07:35:00 +0000 2012,Sun Jan 01 07:35:33 +0000 2012,Sun Jan 01 07:39:53 +0000 2012,0.07573390151515154
Sun Jan 01 07:40:00 +0000 2012,Sun Jan 01 07:40:55 +0000 2012,Sun Jan 01 07:44:30 +0000 2012,0.14022186147186147
Sun Jan 01 07:45:00 +0000 2012,Sun Jan 01 07:45:53 +0000 2012,Sun Jan 01 07:49:28 +0000 2012,0.023959911616161615
Sun Jan 01 07:50:00 +0000 2012,Sun Jan 01 07:50:57 +0000 2012,Sun Jan 01 07:54:54 +0000 2012,0.13286796536796536
Sun Jan 01 07:55:00 +0000 2012,Sun Jan 01 07:56:19 +0000 2012,Sun Jan 01 07:58:40 +0000 2012,0.010541971049783558
Sun Jan 01 08:00:00 +0000 2012,Sun Jan 01 08:00:49 +0000 2012,Sun Jan 01 08:04:09 +0000 2012,0.17742424242424243
Sun Jan 01 08:05:00 +0000 2012,Sun Jan 01 08:05:43 +0000 2012,Sun Jan 01 08:08:10 +0000 2012,-0.021969696969696972
Sun Jan 01 08:10:00 +0000 2012,Sun Jan 01 08:11:03 +0000 2012,Sun Jan 01 08:14:29 +0000 2012,0.090625
Sun Jan 01 08:15:00 +0000 2012,Sun Jan 01 08:15:30 +0000 2012,Sun Jan 01 08:19:25 +0000 2012,0.12469128787878787
Sun Jan 01 08:20:00 +0000 2012,Sun Jan 01 08:21:57 +0000 2012,Sun Jan 01 08:22:46 +0000 2012,0.21180555555555555
Sun Jan 01 08:25:00 +0000 2012,Sun Jan 01 08:25:42 +0000 2012,Sun Jan 01 08:28:32 +0000 2012,0.08928571428571427
Sun Jan 01 08:30:00 +0000 2012,Sun Jan 01 08:30:41 +0000 2012,Sun Jan 01 08:34:25 +0000 2012,0.11000000000000001
Sun Jan 01 08:35:00 +0000 2012,Sun Jan 01 08:35:29 +0000 2012,Sun Jan 01 08:39:59 +0000 2012,0.3011652236652237
Sun Jan 01 08:40:00 +0000 2012,Sun Jan 01 08:40:42 +0000 2012,Sun Jan 01 08:44:33 +0000 2012,0.20178345959595959
Sun Jan 01 08:45:00 +0000 2012,Sun Jan 01 08:45:49 +0000 2012,Sun Jan 01 08:49:40 +0000 2012,0.06925108225108227
Sun Jan 01 08:50:00 +0000 2012,Sun Jan 01 08:50:51 +0000 2012,Sun Jan 01 08:54:57 +0000 2012,0.11742424242424243
Sun Jan 01 08:55:00 +0000 2012,Sun Jan 01 08:55:44 +0000 2012,Sun Jan 01 08:59:46 +0000 2012,0.10346433080808082
Sun Jan 01 09:00:00 +0000 2012,Sun Jan 01 09:00:46 +0000 2012,Sun Jan 01 09:04:09 +0000 2012,0.21940909090909094
Sun Jan 01 09:05:00 +0000 2012,Sun Jan 01 09:05:24 +0000 2012,Sun Jan 01 09:09:57 +0000 2012,0.1625
