<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOGL,5,20120103,122500,661.4300000,661.4500000,660.8800000,661.1000000,2200
GOOGL,5,20120103,123000,661.1400000,661.4300000,661.1400000,661.4300000,900
GOOGL,5,20120103,123500,661.2600000,661.2600000,660.4200000,660.4200000,700
GOOGL,5,20120103,124000,660.3300000,660.9200000,658.9900000,658.9900000,4200
GOOGL,5,20120103,124500,659.3300000,659.8600000,659.3300000,659.8400000,1100
GOOGL,5,20120103,125000,659.7700000,659.7700000,658.8800000,659.2000000,1501
GOOGL,5,20120103,125500,659.2000000,659.4900000,659.1900000,659.2000000,1800
GOOGL,5,20120103,130000,659.2300000,659.3000000,658.6500000,659.3000000,2985
GOOGL,5,20120103,130500,659.2700000,659.6700000,659.2700000,659.4600000,800
GOOGL,5,20120103,131000,659.1700000,659.1900000,658.6700000,658.6700000,1583
GOOGL,5,20120103,131500,658.7000000,658.9800000,658.6700000,658.9800000,1041
GOOGL,5,20120103,132000,658.8600000,659.1100000,658.8600000,658.9000000,2024
GOOGL,5,20120103,132500,658.9800000,658.9800000,658.4700000,658.4700000,2698
GOOGL,5,20120103,133000,658.5600000,658.6400000,658.0700000,658.1800000,1454
GOOGL,5,20120103,133500,658.4600000,659.1300000,658.3700000,658.7400000,1400
GOOGL,5,20120103,134000,658.8300000,659.0700000,658.1400000,658.6500000,1400
GOOGL,5,20120103,134500,658.6800000,659.1700000,658.6800000,659.0100000,2800
GOOGL,5,20120103,135000,659.0600000,659.4700000,658.8000000,659.4700000,2400
GOOGL,5,20120103,135500,659.6200000,659.7800000,659.5400000,659.5400000,2200
GOOGL,5,20120103,140000,659.2300000,659.6300000,659.2300000,659.4900000,1400
GOOGL,5,20120103,140500,659.4800000,660.1000000,659.3800000,659.7900000,1900
GOOGL,5,20120103,141000,660.0600000,660.0900000,659.9000000,659.9000000,1200
GOOGL,5,20120103,141500,659.6100000,659.9100000,659.4800000,659.7600000,3300
GOOGL,5,20120103,142000,659.6500000,659.6800000,659.3500000,659.6800000,700
GOOGL,5,20120103,142500,659.5800000,660.3600000,659.5800000,660.1800000,7234
GOOGL,5,20120103,143000,660.3500000,660.6900000,660.3400000,660.6900000,2000
GOOGL,5,20120103,143500,660.6400000,661.4200000,660.6200000,661.3100000,3097
GOOGL,5,20120103,144000,661.4100000,663.1200000,661.4000000,663.1200000,8600
GOOGL,5,20120103,144500,663.2000000,663.4100000,662.9200000,663.4100000,4753
GOOGL,5,20120103,145000,663.4100000,663.5700000,663.4100000,663.4700000,3401
GOOGL,5,20120103,145500,663.4300000,663.5000000,663.2300000,663.3000000,3011
GOOGL,5,20120103,150000,663.2100000,664.6400000,663.1300000,664.6400000,4960
GOOGL,5,20120103,150500,664.6700000,665.0000000,664.1500000,664.5900000,6961
GOOGL,5,20120103,151000,664.6600000,665.0000000,664.6000000,664.9200000,22754
GOOGL,5,20120103,151500,664.9100000,665.3300000,664.6600000,664.8100000,10189
GOOGL,5,20120103,152000,664.9800000,664.9800000,664.6900000,664.8200000,1500
GOOGL,5,20120103,152500,665.0000000,665.2400000,664.7200000,664.7200000,4630
GOOGL,5,20120103,153000,664.7100000,665.8300000,664.5900000,665.8300000,3400
GOOGL,5,20120103,153500,665.8600000,665.8600000,665.4400000,665.6200000,4910
GOOGL,5,20120103,154000,665.4100000,665.9000000,664.7900000,665.8500000,5065
GOOGL,5,20120103,154500,665.9800000,667.4300000,665.9800000,667.4300000,5750
GOOGL,5,20120103,155000,667.5300000,668.0700000,667.3700000,667.7300000,9620
GOOGL,5,20120103,155500,667.6500000,667.6500000,665.6500000,665.6500000,4701
GOOGL,5,20120103,160000,665.7400000,665.9300000,664.9600000,664.9600000,7454
GOOGL,5,20120104,093500,665.2000000,669.2500000,664.9300000,664.9600000,6420
GOOGL,5,20120104,094000,664.9400000,665.1600000,662.4500000,663.0200000,5400
GOOGL,5,20120104,094500,663.2050000,663.2050000,661.9600000,663.0400000,4053
GOOGL,5,20120104,095000,663.3100000,663.3100000,662.4900000,662.5600000,3900
GOOGL,5,20120104,095500,662.9500000,662.9600000,661.5400000,662.1800000,3571
GOOGL,5,20120104,100000,662.4000000,662.8900000,661.6200000,662.1900000,4501
GOOGL,5,20120104,100500,661.5800000,662.0000000,661.4400000,661.5100000,8252
GOOGL,5,20120104,101000,661.2700000,662.5000000,661.2700000,662.0800000,3593
GOOGL,5,20120104,101500,661.9200000,661.9200000,661.2800000,661.4150000,2830
GOOGL,5,20120104,102000,661.5500000,662.6300000,661.5500000,662.5500000,800
