close_time,start_time,end_time,sentiment,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Tue Jan 03 12:10:00 +0000 2012,Tue Jan 03 12:10:59 +0000 2012,Tue Jan 03 12:14:45 +0000 2012,-0.0146031746031746,AAPL2,410.92,411.08,410.91,411.0,5072
Tue Jan 03 12:15:00 +0000 2012,Tue Jan 03 12:15:55 +0000 2012,Tue Jan 03 12:19:50 +0000 2012,0.033861111111111106,AAPL2,411.0,411.0,410.44,410.61,10989
Tue Jan 03 12:20:00 +0000 2012,Tue Jan 03 12:20:57 +0000 2012,Tue Jan 03 12:24:56 +0000 2012,-0.022286641929499074,AAPL2,410.62,410.82,410.5,410.82,6419
Tue Jan 03 12:25:00 +0000 2012,Tue Jan 03 12:25:56 +0000 2012,Tue Jan 03 12:29:48 +0000 2012,0.05983673469387756,AAPL2,410.77,410.8,410.6,410.6,1872
Tue Jan 03 12:30:00 +0000 2012,Tue Jan 03 12:30:43 +0000 2012,Tue Jan 03 12:34:57 +0000 2012,-0.038614718614718616,AAPL2,410.58,410.96,410.55,410.95,4698
Tue Jan 03 12:35:00 +0000 2012,Tue Jan 03 12:35:55 +0000 2012,Tue Jan 03 12:39:47 +0000 2012,0.05291787292568543,AAPL2,410.94,410.95,410.28,410.28,13771
Tue Jan 03 12:40:00 +0000 2012,Tue Jan 03 12:40:57 +0000 2012,Tue Jan 03 12:44:36 +0000 2012,0.11082747395833333,AAPL2,410.28,410.55,409.9,409.9,15490
Tue Jan 03 12:45:00 +0000 2012,Tue Jan 03 12:45:49 +0000 2012,Tue Jan 03 12:49:45 +0000 2012,0.10768740981240983,AAPL2,409.99,410.57,409.99,410.5,8019
Tue Jan 03 12:50:00 +0000 2012,Tue Jan 03 12:50:54 +0000 2012,Tue Jan 03 12:54:52 +0000 2012,0.10157142857142856,AAPL2,410.41,410.41,409.94,409.96,5000
Tue Jan 03 12:55:00 +0000 2012,Tue Jan 03 12:55:59 +0000 2012,Tue Jan 03 12:59:57 +0000 2012,0.0025945582195582182,AAPL2,409.95,410.1,409.92,410.07,6481
Tue Jan 03 13:00:00 +0000 2012,Tue Jan 03 13:00:58 +0000 2012,Tue Jan 03 13:04:54 +0000 2012,0.10375,AAPL2,409.97,410.06,409.56,409.795,13715
Tue Jan 03 13:05:00 +0000 2012,Tue Jan 03 13:05:54 +0000 2012,Tue Jan 03 13:09:54 +0000 2012,0.02864814814814815,AAPL2,409.81,409.92,409.3,409.42,22380
Tue Jan 03 13:10:00 +0000 2012,Tue Jan 03 13:10:56 +0000 2012,Tue Jan 03 13:14:42 +0000 2012,0.03433746556473829,AAPL2,409.51,409.63,409.4,409.6,6932
Tue Jan 03 13:15:00 +0000 2012,Tue Jan 03 13:15:59 +0000 2012,Tue Jan 03 13:19:58 +0000 2012,0.06936507936507938,AAPL2,409.65,409.78,409.495,409.78,7100
Tue Jan 03 13:20:00 +0000 2012,Tue Jan 03 13:20:55 +0000 2012,Tue Jan 03 13:24:49 +0000 2012,0.04227777777777779,AAPL2,409.79,410.21,409.79,410.2,6945
Tue Jan 03 13:25:00 +0000 2012,Tue Jan 03 13:25:24 +0000 2012,Tue Jan 03 13:29:56 +0000 2012,0.10068204365079364,AAPL2,410.17,410.26,410.04,410.13,4477
Tue Jan 03 13:30:00 +0000 2012,Tue Jan 03 13:30:52 +0000 2012,Tue Jan 03 13:34:58 +0000 2012,0.10255772005772004,AAPL2,410.1,410.1,409.785,409.835,14775
Tue Jan 03 13:35:00 +0000 2012,Tue Jan 03 13:35:47 +0000 2012,Tue Jan 03 13:39:48 +0000 2012,0.08862193362193363,AAPL2,409.8,409.8,409.27,409.51,12444
Tue Jan 03 13:40:00 +0000 2012,Tue Jan 03 13:40:17 +0000 2012,Tue Jan 03 13:44:45 +0000 2012,0.06286323051948052,AAPL2,409.57,409.7,409.245,409.245,8517
Tue Jan 03 13:45:00 +0000 2012,Tue Jan 03 13:45:51 +0000 2012,Tue Jan 03 13:49:14 +0000 2012,0.05194949494949495,AAPL2,409.28,409.99,409.28,409.85,12304
Tue Jan 03 13:50:00 +0000 2012,Tue Jan 03 13:50:56 +0000 2012,Tue Jan 03 13:54:53 +0000 2012,0.2519669913419913,AAPL2,409.87,410.79,409.87,410.77,14473
Tue Jan 03 13:55:00 +0000 2012,Tue Jan 03 13:55:55 +0000 2012,Tue Jan 03 13:59:54 +0000 2012,-0.043463953147546884,AAPL2,410.78,410.88,410.67,410.79,8920
Tue Jan 03 14:00:00 +0000 2012,Tue Jan 03 14:00:59 +0000 2012,Tue Jan 03 14:04:53 +0000 2012,0.08582309008207625,AAPL2,410.74,410.9,410.66,410.9,7374
Tue Jan 03 14:05:00 +0000 2012,Tue Jan 03 14:05:58 +0000 2012,Tue Jan 03 14:09:41 +0000 2012,0.05678571428571429,AAPL2,410.85,411.0,410.82,411.0,14013
Tue Jan 03 14:10:00 +0000 2012,Tue Jan 03 14:10:59 +0000 2012,Tue Jan 03 14:14:49 +0000 2012,0.09111111111111113,AAPL2,411.05,411.16,410.9,410.92,7664
Tue Jan 03 14:15:00 +0000 2012,Tue Jan 03 14:15:20 +0000 2012,Tue Jan 03 14:19:58 +0000 2012,0.19454545454545452,AAPL2,410.95,411.0,410.72,410.74,5248
Tue Jan 03 14:20:00 +0000 2012,Tue Jan 03 14:20:56 +0000 2012,Tue Jan 03 14:24:59 +0000 2012,0.132289908008658,AAPL2,410.82,410.82,410.5,410.71,8757
Tue Jan 03 14:25:00 +0000 2012,Tue Jan 03 14:25:38 +0000 2012,Tue Jan 03 14:29:40 +0000 2012,0.3912716450216451,AAPL2,410.74,410.91,410.66,410.85,6020
Tue Jan 03 14:30:00 +0000 2012,Tue Jan 03 14:30:59 +0000 2012,Tue Jan 03 14:33:49 +0000 2012,0.11851641414141414,AAPL2,410.88,410.95,410.73,410.9,9356
Tue Jan 03 14:35:00 +0000 2012,Tue Jan 03 14:35:49 +0000 2012,Tue Jan 03 14:39:41 +0000 2012,0.2696853545217803,AAPL2,410.96,411.15,410.89,411.15,12507
